id	verdict	note
cand_0061	reject	PSX is a yellow patterned strip; PSPHD is a black DETOUR word sign.
cand_0062	reject	PSX is a yellow patterned strip; PSPHD is a black DETOUR word sign.
cand_0063	reject	PSX is a yellow patterned strip; PSPHD is a black DETOUR word sign.
cand_0064	reject	PSX shows an ONO-style prompt fragment; PSPHD is an X YES button prompt.
cand_0065	reject	PSX is a small replay/save text poster; PSPHD is the onion character body/back.
cand_0066	reject	PSX is a dense vertical text poster; PSPHD is the onion character back/head.
cand_0067	reject	PSX is a dark green curved shape; PSPHD is a yellow/rainbow stripe graphic.
cand_0068	reject	PSX is a dense vertical text poster; PSPHD is the onion character front.
cand_0069	reject	PSX is a blue/yellow tiled pattern; PSPHD is a yellow circular emblem.
cand_0070	reject	PSX is green block/curved sub-shapes; PSPHD is a yellow/rainbow stripe graphic.
cand_0071	reject	PSX is a dense vertical text poster; PSPHD is the onion character front.
cand_0072	reject	PSX is a magenta jagged frame/window; PSPHD is a blue clothing/body part.
