# id	verdict	source_key	w	h	top_rel_path	score	detail
rtc_0001		03800163010401FA	20	20	67cf2cfc_1dca5370_20_20_0.png	0.056455	attr=0x10000040 texHW=896 texY=355 tpl=20x20 clutXY=272,494 tpage=0x001E clut=0x7B91 rect=0,99,20,20 keySub=0,0
rtc_0002		03850163010401FB	20	20	43837b17_9e68a7c0_20_20_0.png	0.045358	attr=0x10000040 texHW=901 texY=355 tpl=20x20 clutXY=272,495 tpage=0x001E clut=0x7BD1 rect=20,99,20,20 keySub=0,0
rtc_0003		038A0163010401E4	20	20	1d616932_83d1094e_20_20_0.png	0.034409	attr=0x10000040 texHW=906 texY=355 tpl=20x20 clutXY=272,496 tpage=0x001E clut=0x7C11 rect=40,99,20,20 keySub=0,0
rtc_0004		038F0163010401E5	20	20	4228383c_8bb7eb74_20_20_0.png	0.028146	attr=0x10000040 texHW=911 texY=355 tpl=20x20 clutXY=272,497 tpage=0x001E clut=0x7C51 rect=60,99,20,20 keySub=0,0
rtc_0005		03940163010401E4	20	20	1d616932_83d1094e_20_20_0.png	0.276985	attr=0x10000040 texHW=916 texY=355 tpl=20x20 clutXY=272,496 tpage=0x001E clut=0x7C11 rect=80,99,20,20 keySub=0,0
rtc_0006		03990163010401E5	20	20	4228383c_8bb7eb74_20_20_0.png	0.429210	attr=0x10000040 texHW=921 texY=355 tpl=20x20 clutXY=272,497 tpage=0x001E clut=0x7C51 rect=100,99,20,20 keySub=0,0
rtc_0007		0394019F010401E4	20	20	1d616932_83d1094e_20_20_0.png	0.333324	attr=0x10000040 texHW=916 texY=415 tpl=20x20 clutXY=272,496 tpage=0x001E clut=0x7C11 rect=80,159,20,20 keySub=0,0
rtc_0008		0399019F010401E5	20	20	43837b17_9e68a7c0_20_20_0.png	0.480049	attr=0x10000040 texHW=921 texY=415 tpl=20x20 clutXY=272,497 tpage=0x001E clut=0x7C51 rect=100,159,20,20 keySub=0,0
rtc_0009		039401B3010401E4	20	20	1d616932_83d1094e_20_20_0.png	0.308854	attr=0x50000040 texHW=916 texY=435 tpl=20x20 clutXY=272,496 tpage=0x001E clut=0x7C11 rect=80,179,20,20 keySub=0,0
rtc_0010		039901B3010401E5	20	20	4228383c_8bb7eb74_20_20_0.png	0.404099	attr=0x50000040 texHW=921 texY=435 tpl=20x20 clutXY=272,497 tpage=0x001E clut=0x7C51 rect=100,179,20,20 keySub=0,0
